"4","2011311906","Tue Jun 02 18:49:23 PDT 2009","NO_QUERY","sXeSean","@bravesgirl5 thanks for saying bye to us in vegas! "
"0","1988718003","Sun May 31 23:10:22 PDT 2009","NO_QUERY","Kikirowr","@brigwyn Yepyep, they want to do more tests... but I'm really not sure "
"0","1555877137","Sat Apr 18 20:57:24 PDT 2009","NO_QUERY","becmcleod","has unfortunately confirmed the hypothesis that wine makes me sneeze...nooooooooo. "
"4","2001142309","Mon Jun 01 23:58:11 PDT 2009","NO_QUERY","BryanGwin","@Malerie Couldn't agree more! "
"0","2000778052","Mon Jun 01 22:56:25 PDT 2009","NO_QUERY","grovich","Our Father who art in Heaven,hallowed by Thy name,Thy kingdom come,Thy will be done on earth as it is in Heaven....My best wishes . "
"4","1979122296","Sun May 31 01:43:43 PDT 2009","NO_QUERY","maggielovescake","@sarizaurd I love you too you high school graduate "
"4","1836498531","Mon May 18 08:06:19 PDT 2009","NO_QUERY","wickedlypamx","What is everyone doing right now? "
"4","1974270001","Sat May 30 12:47:05 PDT 2009","NO_QUERY","SUZANNEARLING","@MagicButterfly Elijah wood. die kerel van Lord of the rings "
"4","1967586040","Fri May 29 19:51:06 PDT 2009","NO_QUERY","jmaslar","@_onceuponatime  Well stop what your doing and go home and tell her. Now. Well, not really, just kidding "
"4","1976932814","Sat May 30 19:36:50 PDT 2009","NO_QUERY","jwy747","We're excited for our daughter Amanda who has just gotten engaged to Danny tonight!!!  "
"0","2201959207","Tue Jun 16 21:01:39 PDT 2009","NO_QUERY","NikoleCamarae","maybe i should just give up on operation hummingbird... There so cute together  even if she is ugly"
"0","2005397912","Tue Jun 02 09:38:19 PDT 2009","NO_QUERY","koltregaskes","@CactusTri Trying to send you an invite but that part of the site is not working. "
"4","2016106864","Wed Jun 03 06:10:46 PDT 2009","NO_QUERY","timrylands","@timbuckteeth @NeilAdam @johnmayo and have you seen the rest that followed from that one. Shame we didn't tag them and  set a trend eh? "
"4","2191251252","Tue Jun 16 04:52:15 PDT 2009","NO_QUERY","ashopaholic","For gadget dad, visit Iwoot for loads of father's day ideas! Free delivery on orders over £45  http://bit.ly/DETYd"
"4","1834953670","Mon May 18 04:43:04 PDT 2009","NO_QUERY","IllanaGambrill","Who punched their chest 3times this morning???!! "
"0","1982167537","Sun May 31 10:39:51 PDT 2009","NO_QUERY","NickyLovesMcFly","@Sam_thebadwolf Lol yea! Xx I haven't done it - left it till tonight dint I, and I feel so so ill  Xx"
"4","1753678426","Sun May 10 02:52:00 PDT 2009","NO_QUERY","TwilightNorbie","preparing to visit a friend  And we're gonna watch Twilight! Yay!"
